Rezept;Häufigkeit
Orecchiette mit Linsen;4
Rote-Linsen-Suppe;9
Sauerkraut-Paprika-Suppe;5
Rotkohlsuppe mit Zimtcroûtons;1
Tortilla mit Zwiebeln;3
Gnocchi mit Fenchel und Tomaten;10
Bester vegetarischer Nudelauflauf;2
Wirsing mit Bandnudeln;3
Chili sin Carne;5
Reissuppe;8
Asia-Bulgur;8
Salat mit Halloumi und Weintrauben;7
Pistou;2
Orientales Kichererbsencurry;3
Kartoffelbrei Italian Style;9
Rosenkohl mit Maronen;1
Spanische Kartoffeln mit Zaziki;6
Kichererbsen-Suppe;8
Sauerkraut-Spätzle;7
Käse-Spätzle;8
Vegane, deftige Kartoffelsuppe;2
Kichererbsen Indian Style;5
Lasagne;1
Gemüse-Ananas-Wok;10
Kartoffel-Karotten-Auflauf;2
Muschelnudeln mit Tofu-Pesto-Füllung;0
Chinakohlgemüse mit Dinklereis;1
Lauch-Kartoffel-Käse-Suppe;2
Buschbohnen mit Räuchertofu;11
Lauchsuppe;5
Vegetarische Tarte provençale;5
Scharfe Linsensuppe mit Orangen-Kokos-Duft;5
Linsen-Curry;6
Ciabatta-Salat mit Kirschtomaten;5
Schnelle Wintersuppe;2
Last Minute Pizza;10
Aloo Tikki (Indische Kartoffelpuffer);5
Gefüllte Muschelnudeln mit Spinatsoße;2
Tomate-Mozzarella;3
Schnelle vegane Pho-Suppe;9
Griechische Zitronensuppe;3
Wilde Wirsingpfanne mit Kartoffeln;2
Kartoffelpfanne mit Schafskäse;5
Mexikanischer Tomatenauflauf;6
Paprika-Bratkartoffeln (Kartoffeln vorher kochen);4
Gnocchi mit Paprika und Frühlingszwiebeln;5
Vegane Hühnersuppe;3
Pastasalat;2
Nudelsuppe mit Tofu;3
Brennnessel-Cremesuppe;3
Frühlingsrollen;2
Spargel mit Kartoffeln und Sauce hollandaise;3
Gebratene Chinanudeln;9
Kleine Tofu-Taler mit Paprika-Tomaten-Salsa;5
Gebratener Blumenkohl;2
Frittata mit Salat;7
Spargel im Schlafrock;1
Spinat mit Rosinen und Pinienkernen;3
Mais-Kokos-Suppe;9
Schnelle, würzige Bohnensuppe;9
Asiagemüse mit Zuckerschoten und Möhren;2
Quiche à la Grain-Green-Bean;3
Basmatireis mit indischer Currysoße;7
Weiße Bohnen in Basilikum-Tomaten-Soße;2
Paprikaschote gefüllt mit Süßkartoffel;2
Fruchtiger Linsensalat mit Trauben und Feta;3
Linsensuppe mit Frühlingszwiebeln;6
Fruchtiger Reissalat;3
Geröstete Pastinaken-Karottensuppe;5
Pappardelle mit Käsesoße, Radicchio und Apfel;1
Linsen-Chili mit Kaffee;4
Kürbisgulasch;1
Tomatensuppe mit Mango;3
Maronen-Zimt-Süppchen;2
Hokkaido-Kürbis mit Datteln;3
Karotten mit Erdnussmus;9
Thai-Karotten mit Kapern;2
Tagliatelle mit Limetten und Physalis;3
Spaghetti mit Thaibohnen;11
Tortillas mit Paprika und Mais;7
