Rezept;Häufigkeit
Orecchiette mit Linsen;3
Rote-Linsen-Suppe;10
Sauerkraut-Paprika-Suppe;5
Rotkohlsuppe mit Zimtcroûtons;3
Krautstrudel;2
Tortilla mit Zwiebeln;5
Gnocchi mit Fenchel und Tomaten;10
Bester vegetarischer Nudelauflauf;3
Wirsing mit Bandnudeln;2
Chili sin Carne;4
Reissuppe;10
Asia-Bulgur;10
Salat mit Halloumi und Weintrauben;7
Pistou;2
Orientales Kichererbsencurry;6
Kartoffelbrei Italian Style;7
Rosenkohl mit Maronen;1
Spanische Kartoffeln mit Zaziki;3
Kichererbsen-Suppe;9
Sauerkraut-Spätzle;8
Käse-Spätzle;7
Vegane, deftige Kartoffelsuppe;1
Kichererbsen Indian Style;4
Lasagne;2
Gemüse-Ananas-Wok;9
Kartoffel-Karotten-Auflauf;5
Muschelnudeln mit Tofu-Pesto-Füllung;2
Chinakohlgemüse mit Dinklereis;1
Lauch-Kartoffel-Käse-Suppe;1
Buschbohnen mit Räuchertofu;9
Lauchsuppe;3
Vegetarische Tarte provençale;1
Scharfe Linsensuppe mit Orangen-Kokos-Duft;5
Linsen-Curry;6
Ciabatta-Salat mit Kirschtomaten;5
Schnelle Wintersuppe;2
Last Minute Pizza;10
Aloo Tikki (Indische Kartoffelpuffer);5
Gefüllte Muschelnudeln mit Spinatsoße;3
Tomate-Mozzarella;4
Schnelle vegane Pho-Suppe;7
Griechische Zitronensuppe;5
Wilde Wirsingpfanne mit Kartoffeln;1
Kartoffelpfanne mit Schafskäse;6
Mexikanischer Tomatenauflauf;4
Paprika-Bratkartoffeln (Kartoffeln vorher kochen);1
Gnocchi mit Paprika und Frühlingszwiebeln;5
Vegane Hühnersuppe;3
Pastasalat;2
Nudelsuppe mit Tofu;4
Brennnessel-Cremesuppe;1
Frühlingsrollen;3
Spargel mit Kartoffeln und Sauce hollandaise;2
Gebratene Chinanudeln;10
Kleine Tofu-Taler mit Paprika-Tomaten-Salsa;5
Gebratener Blumenkohl;2
Frittata mit Salat;8
Spargel im Schlafrock;1
Spinat mit Rosinen und Pinienkernen;3
Mais-Kokos-Suppe;9
Schnelle, würzige Bohnensuppe;10
Asiagemüse mit Zuckerschoten und Möhren;2
Quiche à la Grain-Green-Bean;6
Basmatireis mit indischer Currysoße;5
Weiße Bohnen in Basilikum-Tomaten-Soße;3
Paprikaschote gefüllt mit Süßkartoffel;2
Fruchtiger Linsensalat mit Trauben und Feta;2
Linsensuppe mit Frühlingszwiebeln;5
Fruchtiger Reissalat;3
Geröstete Pastinaken-Karottensuppe;3
Pappardelle mit Käsesoße, Radicchio und Apfel;4
Linsen-Chili mit Kaffee;5
Kürbisgulasch;1
Tomatensuppe mit Mango;2
Maronen-Zimt-Süppchen;0
Hokkaido-Kürbis mit Datteln;3
Karotten mit Erdnussmus;10
Thai-Karotten mit Kapern;3
Tagliatelle mit Limetten und Physalis;3
Spaghetti mit Thaibohnen;10
Tortillas mit Paprika und Mais;6
